# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,BORGeom,0,OUXXXGHFZS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,37
# x,y,z,u,w
1.000000000000000000e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.833940539417401761e-01, 9.807491365171064346e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.682042406691152236e-02
9.604242612381848065e-01, 9.546597152954916510e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.220647627261153112e-02
9.291386855235221898e-01, 9.201076767383799260e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.440022120384465143e-01
8.874117545816672115e-01, 8.757304031437425362e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.263857339019312576e-01
8.332906939720593487e-01, 8.209643932550644840e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.331830858063768441e-01
7.655795479079018362e-01, 7.568751061546405423e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.667132275822860055e-01
6.845849927517762001e-01, 6.868865937201179550e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.263209271791859711e-01
5.927426257534735843e-01, 6.173624464389517591e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.071497903868449786e-01
4.946999091699305628e-01, 5.571072532871694516e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
