x y z A dCp dVx dVy dVz dP dFx dFy dFz mu 
0.996922076 0.125 -0.000445593178 0.00155500555 0.236747146 -0.856918097 -0.170130134 0 0.118373573 -2.63732309e-05 -0 0.000182172473 0.0731861144
0.984686196 0.125 -0.00219627423 0.00462524034 0.188172996 -0.884920299 -0.169537947 0 0.094086498 -6.13955708e-05 -0 0.000430819928 0.0715968981
0.960515738 0.125 -0.00557609182 0.00757759484 0.117514491 -0.924207807 -0.168301612 0 0.0587572455 -6.09527124e-05 -0 0.000441046723 0.0694779754
0.925005853 0.125 -0.0103608835 0.0103378817 0.0695034266 -0.950108409 -0.166705057 0 0.0347517133 -4.70896557e-05 -0 0.00035615961 0.0674036369
0.879030943 0.125 -0.0162547119 0.012837844 0.0344144702 -0.968670905 -0.165112689 0 0.0172072351 -2.73919068e-05 -0 0.000219198948 0.065669477
0.823723018 0.125 -0.0229215641 0.0150165278 0.00692248344 -0.983003974 -0.163648129 0 0.00346124172 -6.02790305e-06 -0 5.16251093e-05 0.0644861683
0.760443926 0.125 -0.0300075412 0.0168210901 -0.0160121918 -0.994853616 -0.162106335 0 -0.00800609589 1.44225405e-05 0 -0.000133896756 0.0639447123
0.690751851 0.125 -0.0371483043 0.018207822 -0.0352853537 -1.00480688 -0.160151258 0 -0.0176426768 3.12088087e-05 0 -0.000319715124 0.0641753525
0.61636281 0.125 -0.0439641662 0.0191431083 -0.0498902798 -1.01245165 -0.15758121 0 -0.0249451399 4.08848755e-05 0 -0.000475774053 0.065115124
0.539108634 0.125 -0.0500518233 0.0196047015 -0.0602645874 -1.01806414 -0.154304981 0 -0.0301322937 4.2330983e-05 0 -0.000589216012 0.0666919202
0.460891366 0.125 -0.0549848676 0.0195831098 -0.0650758743 -1.02103114 -0.150237501 0 -0.0325379372 3.45449589e-05 0 -0.000636256882 0.0687591061
0.38363713 0.125 -0.0583324954 0.0190826375 -0.0630121231 -1.02075446 -0.145163774 0 -0.0315060616 1.92859079e-05 0 -0.000600909407 0.0710876957
0.30924812 0.125 -0.0596989468 0.0181218311 -0.0522413254 -1.01635063 -0.138826191 0 -0.0261206627 1.85693511e-06 0 -0.000473350636 0.0734405369
0.239556059 0.125 -0.0587764904 0.0167328101 -0.0230766535 -1.00295615 -0.130979702 0 -0.0115383267 -6.14204691e-06 -0 -0.000192970896 0.075542815
0.176276997 0.125 -0.0553972535 0.0149600226 0.0318548083 -0.976435244 -0.121323675 0 0.0159274042 1.84328255e-05 0 0.000237560293 0.0767293125
0.120969057 0.125 -0.0495657399 0.0128595736 0.127310395 -0.927753031 -0.109379649 0 0.0636551976 0.000111934831 0 0.000810889469 0.0766520798
0.0749941245 0.125 -0.0414576828 0.0105026355 0.287216127 -0.838890374 -0.0951147825 0 0.143608063 0.000329662842 0 0.00147179479 0.074640505
0.0394842401 0.125 -0.0313799232 0.0079918392 0.548832476 -0.667016506 -0.0790980309 0 0.274416238 0.000752807537 0 0.00205983641 0.0703358576
0.0153137855 0.125 -0.0196983404 0.00552824233 0.919278264 -0.277220756 -0.0622125715 0 0.459639132 0.00142372597 0 0.00210467773 0.0634155497
0.00307791494 0.125 -0.00675168401 0.00371008134 0.638743639 0.599382341 -0.0446898937 0 0.319371819 0.00107814884 0 0.000491499668 0.0533883348
0.00307791494 0.125 0.00675168401 0.00371008134 -1.48314571 1.57557964 -0.0263556167 0 -0.741572857 -0.00250343303 0 0.0011412492 0.0389745422
0.0153137855 0.125 0.0196983404 0.00552824233 -2.00080657 1.73226166 -0.00872047618 0 -1.00040329 -0.00309873559 0 0.0045808251 0.0223704446
0.0394842401 0.125 0.0313799232 0.0079918392 -1.45336366 1.56629205 0.0096436115 0 -0.726681828 -0.00199351017 0 0.00545465434 0.00494174613
0.0749941245 0.125 0.0414576828 0.0105026364 -1.08404875 1.44330692 0.0302319285 0 -0.542024374 -0.00124425685 0 0.00555504113 -0.0131041678
0.120969057 0.125 0.0495657399 0.0128595736 -0.841356158 1.35591745 0.0533292033 0 -0.420678079 -0.0007397437 0 0.00535892509 -0.03121938
