# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,canard,0,PMUWOESUZS,0,0,1,9.993908270190957621e-01, 0.000000000000000000e+00, -3.489949670250096919e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.489949670250096919e-02, 0.000000000000000000e+00, 9.993908270190957621e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.799999999999998934e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,41
# x,y,z,u,w
7.094597000879208082e-01, 8.799999999999998934e-01, -2.786526123007275479e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
6.991752263231395537e-01, 8.799999999999998934e-01, -2.586252936385876472e-02, 1.000000000000000000e+00, 3.303135213488024580e-02
6.852947997056293428e-01, 8.799999999999998934e-01, -2.378418175830222109e-02, 1.000000000000000000e+00, 7.194714884979341862e-02
6.667762957433032156e-01, 8.799999999999998934e-01, -2.206342633197448666e-02, 1.000000000000000000e+00, 1.234930210021912000e-01
6.425396962592682115e-01, 8.799999999999998934e-01, -2.115631196529806426e-02, 1.000000000000000000e+00, 1.906977409129814449e-01
6.115634994128267277e-01, 8.799999999999998934e-01, -2.153174101841313567e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
5.730735222078674473e-01, 8.799999999999998934e-01, -2.372199266403162560e-02, 1.000000000000000000e+00, 3.833411826705370173e-01
5.268138342998683887e-01, 8.799999999999998934e-01, -2.783034360386434092e-02, 1.000000000000000000e+00, 5.119898590812432815e-01
4.732664770409689692e-01, 8.799999999999998934e-01, -3.307220218801720096e-02, 1.000000000000000000e+00, 6.610253111644632806e-01
4.139006317369079424e-01, 8.799999999999998934e-01, -3.814320690147821741e-02, 1.000000000000000000e+00, 8.260779943444493956e-01
3.511866360689503974e-01, 8.799999999999998934e-01, -4.084422852279746136e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
2.884178729984179790e-01, 8.799999999999998934e-01, -4.093300285720995191e-02, 1.000000000000000000e+00, 1.173922005655550826e+00
2.288736363482354041e-01, 8.799999999999998934e-01, -3.939465529455636605e-02, 1.000000000000000000e+00, 1.338974688835536719e+00
1.751634116323939616e-01, 8.799999999999998934e-01, -3.663966123475078523e-02, 1.000000000000000000e+00, 1.488010140918756719e+00
1.289025580527418391e-01, 8.799999999999998934e-01, -3.280847112020739142e-02, 1.000000000000000000e+00, 1.616658817329462927e+00
9.061138250862313392e-02, 8.799999999999998934e-01, -2.848410325640511262e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
5.998364845763676928e-02, 8.799999999999998934e-01, -2.391075824488568188e-02, 1.000000000000000000e+00, 1.809302259087018472e+00
3.620637754682941301e-02, 8.799999999999998934e-01, -1.919453718046671212e-02, 1.000000000000000000e+00, 1.876506978997808828e+00
1.823257922756231497e-02, 8.799999999999998934e-01, -1.444803561728554703e-02, 1.000000000000000000e+00, 1.928052851150206637e+00
5.447270461592867812e-03, 8.799999999999998934e-01, -8.677696236984612857e-03, 1.000000000000000000e+00, 1.966968647865119824e+00
0.000000000000000000e+00, 8.799999999999998934e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
3.216968308729186484e-03, 8.799999999999998934e-01, 1.009100091832154308e-02, 1.000000000000000000e+00, 2.033031352134880176e+00
1.354528688477919275e-02, 8.799999999999998934e-01, 1.987897029005183253e-02, 1.000000000000000000e+00, 2.071947148849793585e+00
3.049640688714742864e-02, 8.799999999999998934e-01, 2.831806321045159808e-02, 1.000000000000000000e+00, 2.123493021002191394e+00
5.421011484392137397e-02, 8.799999999999998934e-01, 3.524646976625738642e-02, 1.000000000000000000e+00, 2.190697740912981306e+00
8.525105762360191131e-02, 8.799999999999998934e-01, 4.099653626292576458e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
1.242764877188055617e-01, 8.799999999999998934e-01, 4.554885056585943753e-02, 1.000000000000000000e+00, 2.383341182670537073e+00
1.714985926546582495e-01, 8.799999999999998934e-01, 4.876297509197638491e-02, 1.000000000000000000e+00, 2.511989859081243281e+00
2.263213612195769386e-01, 8.799999999999998934e-01, 5.017119757231026933e-02, 1.000000000000000000e+00, 2.661025311164463503e+00
2.870555994835902736e-01, 8.799999999999998934e-01, 4.929968429021082399e-02, 1.000000000000000000e+00, 2.826077994344449174e+00
3.509756003146097258e-01, 8.799999999999998934e-01, 4.591167449082540764e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
4.146820126114716398e-01, 8.799999999999998934e-01, 3.961358090557231398e-02, 1.000000000000000000e+00, 3.173922005655550826e+00
4.747312529083473898e-01, 8.799999999999998934e-01, 3.035338702451102072e-02, 1.000000000000000000e+00, 3.338974688835536497e+00
5.285221516378515449e-01, 8.799999999999998934e-01, 1.951093019928298172e-02, 1.000000000000000000e+00, 3.488010140918756719e+00
5.746519675710493047e-01, 8.799999999999998934e-01, 8.732578458632556800e-03, 1.000000000000000000e+00, 3.616658817329462927e+00
6.127816145732877251e-01, 8.799999999999998934e-01, -9.154246667165121540e-04, 1.000000000000000000e+00, 3.723464124463156111e+00
6.433187509406564919e-01, 8.799999999999998934e-01, -9.087105144599913475e-03, 1.000000000000000000e+00, 3.809302259087018250e+00
6.671937671633429989e-01, 8.799999999999998934e-01, -1.560922517064504758e-02, 1.000000000000000000e+00, 3.876506978997809050e+00
6.854578209038464376e-01, 8.799999999999998934e-01, -2.078504356639465991e-02, 1.000000000000000000e+00, 3.928052851150206415e+00
6.992129917910823167e-01, 8.799999999999998934e-01, -2.481118410171791883e-02, 1.000000000000000000e+00, 3.966968647865119824e+00
7.094597000879208082e-01, 8.799999999999998934e-01, -2.786526123007275479e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
7.094653730929543212e-01, 1.103157894736841671e+00, -2.770280762105791633e-02, 1.052631578947368363e+00, 0.000000000000000000e+00
6.991766637086319625e-01, 1.103157894736841671e+00, -2.571096184826994827e-02, 1.052631578947368363e+00, 3.303135213488024580e-02
6.852928514566535290e-01, 1.103157894736841671e+00, -2.363927816647941327e-02, 1.052631578947368363e+00, 7.194714884979341862e-02
6.667716219334964833e-01, 1.103157894736841671e+00, -2.191668025435870512e-02, 1.052631578947368363e+00, 1.234930210021912000e-01
6.425316530397801040e-01, 1.103157894736841671e+00, -2.100067812355901203e-02, 1.052631578947368363e+00, 1.906977409129814449e-01
6.115507398220361157e-01, 1.103157894736841671e+00, -2.137261479928203797e-02, 1.052631578947368363e+00, 2.765358755368439447e-01
5.730563215109758524e-01, 1.103157894736841671e+00, -2.357805581143997131e-02, 1.052631578947368363e+00, 3.833411826705370173e-01
5.267941685281233299e-01, 1.103157894736841671e+00, -2.772610205081175658e-02, 1.052631578947368363e+00, 5.119898590812432815e-01
4.732433680276917354e-01, 1.103157894736841671e+00, -3.300428290515238644e-02, 1.052631578947368363e+00, 6.610253111644632806e-01
4.138675592341096721e-01, 1.103157894736841671e+00, -3.805080493100669592e-02, 1.052631578947368363e+00, 8.260779943444493956e-01
3.511432724577331355e-01, 1.103157894736841671e+00, -4.072018539794870773e-02, 1.052631578947368363e+00, 1.000000000000000000e+00
2.883653318994819359e-01, 1.103157894736841671e+00, -4.084295855400888603e-02, 1.052631578947368363e+00, 1.173922005655550826e+00
2.288109778676549466e-01, 1.103157894736841671e+00, -3.938265909761199529e-02, 1.052631578947368363e+00, 1.338974688835536719e+00
1.750916374793175245e-01, 1.103157894736841671e+00, -3.665154429521544355e-02, 1.052631578947368363e+00, 1.488010140918756719e+00
1.288295066002021205e-01, 1.103157894736841671e+00, -3.275845029637105416e-02, 1.052631578947368363e+00, 1.616658817329462927e+00
9.054085308748009708e-02, 1.103157894736841671e+00, -2.836522276264458534e-02, 1.052631578947368363e+00, 1.723464124463156111e+00
5.990458269549174541e-02, 1.103157894736841671e+00, -2.381500939303342335e-02, 1.052631578947368363e+00, 1.809302259087018472e+00
3.610620413289445524e-02, 1.103157894736841671e+00, -1.920740706908068141e-02, 1.052631578947368363e+00, 1.876506978997808828e+00
1.811216552649506234e-02, 1.103157894736841671e+00, -1.454135658858101560e-02, 1.052631578947368363e+00, 1.928052851150206637e+00
5.356395873584025337e-03, 1.103157894736841671e+00, -8.723892692314317437e-03, 1.052631578947368363e+00, 1.966968647865119824e+00
0.000000000000000000e+00, 1.103157894736841671e+00, 0.000000000000000000e+00, 1.052631578947368363e+00, 2.000000000000000000e+00
3.261506439569162273e-03, 1.103157894736841671e+00, 1.006978820341094746e-02, 1.052631578947368363e+00, 2.033031352134880176e+00
1.360866092159941122e-02, 1.103157894736841893e+00, 1.983982583967824898e-02, 1.052631578947368363e+00, 2.071947148849793585e+00
3.054216042513688625e-02, 1.103157894736841671e+00, 2.831222904845268062e-02, 1.052631578947368363e+00, 2.123493021002191394e+00
5.423485176376226929e-02, 1.103157894736841671e+00, 3.530390827737572845e-02, 1.052631578947368363e+00, 2.190697740912981306e+00
