aoa Fx Fy Fz CFx CFy CFz CL CD 
1 -0.51080270471040401 -0.00035374732292169911 2.3554689416257526 -0.17026756823680134 -0.00011791577430723304 0.78515631387525087 0.78800830956961432 -0.15653876855489918
2 -0.51947921974512834 -0.00038730619708577025 2.7079318514472099 -0.17315973991504277 -0.00012910206569525674 0.90264395048240331 0.90813727194856375 -0.14155243610671303
3 -0.53638899149926456 -0.00042098072780282256 3.0577007150794491 -0.17879633049975485 -0.00014032690926760752 1.0192335716931498 1.0271942244356067 -0.12520873273332317
4 -0.56151141802068727 -0.00045472988784433713 3.4043493930398419 -0.18717047267356243 -0.00015157662928144572 1.1347831310132805 1.1450752085028617 -0.10755606512548048
5 -0.5948158915024907 -0.0004885125590574572 3.7474555473114588 -0.19827196383416357 -0.00016283751968581908 1.2491518491038196 1.2616789894627285 -0.08864672193857806
6 -0.63626183557389648 -0.00052228758246114406 4.0866011558967701 -0.21208727852463216 -0.00017409586082038135 1.3622003852989233 1.3769072663616759 -0.068536729283914161
7 -0.68579875473631047 -0.00055601380839202428 4.4213730221131087 -0.2285995849121035 -0.00018533793613067476 1.4737910073710363 1.4906648740056365 -0.047285695886592871
8 -0.74336629588431435 -0.00058965014663891243 4.751363278009137 -0.24778876529477145 -0.00019655004887963749 1.5837877593363789 1.6028599765837142 -0.024956648334873877
9 -0.8088943218366158 -0.00062315561650495713 5.07616988128916 -0.26963144061220529 -0.00020771853883498571 1.6920566270963866 1.713404252380033 -0.0016158568729448541
10 -0.88230299678741386 -0.00065648939673623762 5.3953971051396561 -0.29410099892913794 -0.00021882979891207921 1.7984657017132186 1.8222130690877876 0.02266734778492735
